,emb_id,data_type,ImageBind_PCA_x,ImageBind_PCA_y,ImageBind_UMAP_x,ImageBind_UMAP_y,ImageBind_TSNE_x,ImageBind_TSNE_y
0,0,image,-0.42355881802377626,-0.12082429584629338,12.0243225,11.667218,-20.635044753746477,3.18645431855113
1,1,image,-0.4039263009816911,-0.3814078012581655,9.628397,12.028269,-13.175580038009878,3.021924349251496
2,2,image,-0.45633482917167323,-0.37215638581236216,9.249971,10.784842,-14.154684586260535,5.835174696368242
3,3,image,-0.3658634502620154,-0.11176317603676342,11.737031,11.116299,-18.512494947821267,2.2100805071074525
4,4,image,-0.4409213445978957,-0.30870815284663394,9.459687,12.557626,-13.837865156539182,1.1497065489985625
5,5,image,-0.42578523804097096,-0.10538106597483858,12.033832,10.979691,-19.681033575067346,0.2100348452316235
6,6,image,-0.3893671130929793,-0.17882922708231933,11.873577,11.818856,-20.778979988948265,5.072896908193473
7,7,image,-0.4444025528358419,-0.06169676562638953,11.536709,10.851982,-17.387212198616876,1.1114915253653423
8,8,image,-0.4521329361117448,-0.2802510436126023,9.509139,12.246679,-12.825399866236754,2.2105640018067865
9,9,image,-0.43613932415690804,-0.1052336307583206,12.047892,10.656274,-19.074415663695117,-0.21521977354436492
10,10,image,-0.3352716010453136,-0.25637176764018277,9.553645,12.285325,-12.01974917623983,2.3788350585866604
11,11,image,-0.43591901520809556,-0.17469359424501785,12.081918,11.587951,-20.36512376678594,2.595986122411555
12,12,image,-0.37844055499233886,-0.13691156477659316,11.7294035,10.700588,-18.450745722733945,0.4293143688949353
13,13,image,-0.49945115893703285,-0.177054273627815,11.8998995,11.74052,-20.209723068873284,3.2864615774003454
14,14,image,-0.4662015857739237,-0.20485478195272752,11.658918,11.2294035,-18.86266969854035,1.6560174143886248
15,15,image,-0.43380105076810865,-0.26715548874550027,9.391136,11.212454,-11.585339910403848,6.6366427999365
16,16,image,-0.44539231063431917,-0.1408269640905845,11.896775,11.010611,-18.773844546966377,1.623346338859366
17,17,image,-0.39080046331256163,-0.01778656488025491,12.117418,12.067407,-21.994546499079032,3.60535954079009
18,18,image,-0.3380897490620225,-0.32436462383671727,9.35093,10.793534,-12.607164082266594,5.181430372384364
19,19,image,-0.45462209715317786,-0.12366512107739479,11.944186,11.719602,-19.749961138560973,3.4719779302366036
20,20,image,-0.4211689988946302,-0.1331802446090251,11.294214,10.835869,-17.107587803612233,1.8756442049702968
21,21,image,-0.3914177719771713,-0.27834679819908953,9.466925,11.887317,-12.207300257469113,3.6963212085762764
22,22,image,-0.37550912371537315,-0.33569231510970604,9.329309,10.863303,-13.401275903359991,5.923579517100612
23,23,image,-0.32841560588652885,-0.21938499046686788,10.8716,11.7937975,-19.03987511935589,7.600535091135417
24,24,image,-0.3608761024905873,-0.30312918276031925,10.616556,11.462297,-17.313377624961227,6.240460406922587
25,25,image,-0.47228628471484413,-0.111798725383652,12.121817,11.564819,-19.888623071552974,2.8163929109359205
26,26,image,-0.38155977365256427,-0.09528545056020693,12.002313,10.788116,-20.004422910398294,0.08059432781325393
27,27,image,-0.41644550532113894,-0.36920167857971337,9.691047,12.06607,-13.014715769527792,2.8298410484944445
28,28,image,-0.3348976037317524,-0.007367615811039908,12.022835,10.519043,-19.15608896148162,-0.7767535387818677
29,29,image,-0.4536822262598369,-0.17538141558456172,12.299329,11.773584,-21.04803360424111,2.353775358507011
30,30,image,-0.4440025142119773,-0.1519117887497943,11.612641,12.01188,-19.845969130787587,5.063878325993119
31,31,image,-0.46468525513268816,-0.22670270416522686,9.356604,12.588336,-13.954770000763917,1.5799937015154217
32,32,image,-0.3440460530071908,-0.24744257028817587,9.42411,10.745281,-12.462094657749837,5.788687179063079
33,33,image,-0.4580962801478214,-0.26116353415380983,10.800825,10.956724,-16.604105267339815,2.307147879392169
34,34,image,-0.41519599101445387,-0.21103341746262833,11.683027,10.777164,-18.251548919670757,0.9589100457392501
35,35,image,-0.3809383478662066,-0.17111683568532768,9.663979,10.683199,-14.41641230448209,4.646160157022497
36,36,image,-0.28909289564069107,-0.2538605071347554,8.874733,11.014062,-13.46928126117603,8.345956392213727
37,37,image,-0.4738823412763956,-0.2875121939142997,9.534296,12.66443,-13.564013073003409,1.080807142227334
38,38,image,-0.4686351252457093,-0.19348428375585422,11.970861,12.008436,-20.410071961116092,3.6427305050469374
39,39,image,-0.41690341709080675,-0.15261889669534784,12.227252,11.890256,-21.216970275707848,3.224306027610496
40,40,image,-0.38475231368439444,-0.3250373881294661,8.898399,10.981612,-14.160528128480507,7.955343981948701
41,41,image,-0.42854041087131783,-0.2212821494486298,11.503815,10.897914,-18.321925136278292,1.3350132599721303
42,42,image,-0.37837900524652535,-0.18586564923044988,11.024629,11.5786705,-17.91031651037213,5.807051301749696
43,43,image,-0.37411689798264613,-0.3125174506047238,9.665559,10.722866,-14.760614987786232,4.83920910797025
44,44,image,-0.4275293773897456,-0.13470218103659728,12.249496,11.992398,-21.49084623139317,2.4108562918861325
45,45,image,-0.4531452609638584,-0.3205281449751093,9.475382,12.664631,-12.997927675343291,1.3072972305144543
46,46,image,-0.4303058024454682,-0.3032986592994242,9.587491,12.664214,-12.954428804303753,1.2150045867124528
47,47,image,-0.4164150197227228,-0.08194142623691184,11.176343,10.777547,-16.89379722448386,1.2365061136477793
48,48,image,-0.4262864408388631,-0.3813863395648596,9.243397,11.127005,-13.796448310934121,6.071622044377973
49,49,image,-0.37363628942609634,-0.20037771924007913,11.490137,11.945123,-19.5161719540067,5.372144557882818
50,50,image,-0.41716971575275924,-0.16186924211495274,11.47123,11.959709,-18.336033687548117,4.29838383072707
51,51,image,-0.38593333512598255,-0.30683949916122943,8.994262,10.986118,-14.12460474317111,7.816061287605137
52,52,image,-0.41086047618833993,-0.22730518374848957,10.347527,10.860672,-16.366590459547417,3.871271264045752
53,53,image,-0.40740191486675514,-0.06489094239157298,12.015605,11.630493,-19.111019560825383,3.29227358786059
54,54,image,-0.37157835472160944,-0.08063693655667675,12.524506,11.75017,-22.12898010152619,1.3385415823451567
55,55,image,-0.4802679472299301,-0.34470387142725456,9.609029,12.329847,-12.831350100917694,2.1001949553325865
56,56,image,-0.40788534961889916,-0.31059666356581345,8.933069,11.093192,-13.08756097151707,6.905972621957293
57,57,image,-0.4328074144413399,-0.1890241130471929,11.843108,11.637923,-19.553126825508215,3.792704954852386
58,58,image,-0.08172383838980336,-0.058208279018871295,10.556796,11.611585,-17.246657557093503,6.9685972026490814
59,59,image,-0.42387717183740997,-0.2260299951859458,9.612781,12.419981,-12.1286893422718,2.054145997373603
60,60,image,-0.3474911439370772,-0.11576721255942175,11.983456,12.1486025,-22.357838895527262,3.8974935903243595
61,61,image,-0.24162142984230478,0.07659815594200571,12.013406,10.549263,-18.28024992417297,-1.270314668006236
62,62,image,-0.40259074631996733,-0.22228571463507552,9.383736,12.76106,-13.171848020951026,0.32831994892014377
63,63,image,-0.38739580472072527,-0.24153193618331614,9.892178,12.4667845,-11.62887224622032,0.6511421747114021
64,64,image,-0.4468584454214094,-0.1926863620844027,10.899186,10.847046,-16.01311064208221,1.328318056436582
65,65,image,-0.4527122765963392,-0.36427519488051635,9.302348,10.853701,-14.093286594662734,5.898528325171193
66,66,image,-0.4358062831927505,-0.11217178379353818,11.723514,11.990738,-19.930688348318938,5.086862750427805
67,67,image,-0.42120222797070944,-0.30993482282669144,9.106199,10.613824,-14.61682956740319,6.133346940348536
68,68,image,-0.472720908009774,-0.22290402512512064,9.434868,12.739106,-13.269017053103298,1.0819045244501062
69,69,image,-0.42962892154999877,-0.09334976418946758,11.611205,10.632537,-18.167781652044585,0.4022410631976705
70,70,image,-0.4294160399753175,-0.10985467362138183,11.995308,10.821262,-19.13432836936077,0.5360962125778059
71,71,image,-0.42258471970287204,-0.33341029680257994,9.550021,10.882228,-15.04077331413778,5.4470664476678285
72,72,image,-0.4405715995353157,-0.12558752614333468,12.360731,11.792629,-21.360611063262883,1.9982262004977351
73,73,image,-0.4220406026497253,-0.2078468869740627,11.598985,11.896098,-19.977143267432975,4.6435023349572235
74,74,image,-0.4457968672680852,-0.13485808202005023,12.030609,11.0817375,-19.275352554385307,1.1901931771968002
75,75,image,-0.3588362436923543,-0.26699985809421994,8.842292,10.953939,-14.145636795259081,7.974369372070097
76,76,image,-0.43507186142196164,-0.14718157581511104,12.045972,11.629804,-19.717135180528587,3.1272194947309413
77,77,image,-0.39746224618599346,-0.2860772250805281,9.016551,11.1551695,-12.913623169301674,6.905330421630712
78,78,image,-0.4275618666770857,-0.3675334102716106,9.984633,11.423159,-16.030981150686213,5.219795431210581
79,79,image,-0.4201596570356636,-0.3534141207072745,9.343615,10.914591,-14.712620407285247,5.741379484633158
80,80,image,-0.3483310008405025,-0.27733267309225174,9.598009,10.565239,-15.1336166244052,4.23447691087984
81,81,image,-0.21498125878934524,-0.27792330760545464,9.369165,10.903631,-15.117434177883768,7.09293972107988
82,82,image,-0.24367095341991293,-0.08958827009368395,9.353303,12.509738,-14.543322055064735,0.0672113126318171
83,83,image,-0.43251688960460194,-0.2590319789596479,9.481237,12.324054,-13.012762712741576,2.218048131676418
84,84,image,-0.3938989495183434,-0.29049068696926134,10.83816,11.472972,-17.52717053477558,5.728832450521632
85,85,image,-0.3120255278305076,-0.3690418297915623,9.142474,10.558253,-13.244435619731457,5.154685822350663
86,86,image,-0.4654706195104591,-0.2898759912729576,9.623729,12.746084,-13.556803247103884,0.7433154909304873
87,87,image,-0.4692930334245996,-0.16350700824766762,11.545196,10.981901,-19.66681968860785,1.3798387940233072
88,88,image,-0.14216901238595028,-0.02786890384853609,11.967879,12.247788,-22.373203593418143,4.836704370455425
89,89,image,-0.4312143949743476,-0.28577706993809876,10.15469,10.821114,-15.792578477980312,3.970272000189787
90,90,image,-0.4180424536080458,-0.31611998460157237,10.242261,11.519888,-16.471345272936098,5.6548905276103945
91,91,image,-0.42734025590238,-0.24925847746615262,10.568126,11.296029,-15.857819309971939,2.3742106422053917
92,92,image,-0.4026436336016113,-0.10187365799060205,11.732361,11.104477,-20.26718821420897,0.8943253295546936
93,93,image,-0.3674271962953866,-0.026416927630757987,12.555934,11.762278,-22.185543305931446,1.2599128191896938
94,94,image,-0.25651413851799015,-0.16314577954202858,10.751816,11.483798,-18.91814918683121,7.577209129871562
95,95,image,-0.4343570491956403,-0.16645976970530593,11.78896,10.852817,-18.48954293428055,1.4086159867113774
96,96,image,-0.44660271030943066,-0.345686169656485,9.28609,10.7628765,-14.242023542073952,6.019862723278435
97,97,image,-0.3719213502383379,-0.07372095297143186,9.83475,12.550502,-11.693074371807237,0.20222167521024195
98,98,image,-0.4538716237632494,-0.12919992339743364,12.105125,10.756001,-18.993108098415192,0.514829854159314
99,99,image,-0.4139501546124745,-0.32152516968990696,9.747077,11.875572,-13.547019990808165,3.1613787019463517
100,0,text,0.549397316456002,-0.043641971124273794,-4.820335,4.596862,14.764357525126728,-4.964988212584691
101,1,text,0.36512453098126596,-0.3177801434193463,16.282473,-9.568164,26.649656885203328,0.30723800437913656
102,2,text,0.5238465114234965,-0.15343895094246998,10.534887,0.73638755,15.645200734933363,2.8828466210046235
103,3,text,0.5745878908412311,0.0038459780429565956,-7.636568,11.271125,18.00746218379494,-3.9455977813442376
104,4,text,0.40383044922624667,-0.30693566260630006,16.658283,-9.442469,26.841202733434244,-1.0749043484083696
105,5,text,0.5481603799797923,0.06456750182496089,-7.6784725,10.272457,18.618041029806157,-5.1406870085069825
106,6,text,0.4494359089670796,-0.10997265696247893,-4.1752677,4.356011,13.413787921076901,-7.067097565541422
107,7,text,0.5745878908412311,0.0038459780429565956,-7.700662,11.324544,17.87184429181764,-4.487127909942375
108,8,text,0.3716905015086786,-0.31797738246298074,16.328342,-9.534967,26.237962109976753,0.01781390686891228
109,9,text,0.5682913381926913,0.012605770512508335,-7.723787,10.20383,18.98382372832868,-4.529601607550526
110,10,text,0.3716905015086786,-0.31797738246298074,16.34478,-9.5219555,26.171304074498114,0.130242066481663
111,11,text,0.4381063815343252,-0.1268786233588684,-5.107075,4.2113204,13.490466964216173,-5.312578426217175
112,12,text,0.570692933388309,-0.04262412500468581,-7.435492,11.095899,17.376337428586975,-4.794252377469654
113,13,text,0.44623947829315225,-0.056896292124797826,-4.272287,4.2869735,12.788635307361234,-6.9672940859253565
114,14,text,0.5745878908412311,0.0038459780429565956,-7.5998898,11.364894,17.83407082546294,-4.029513965228014
115,15,text,0.5482285826776266,-0.1922539040892065,9.98539,0.93407357,14.323105361015507,3.249035543948884
116,16,text,0.5574780294892404,0.013093854053674511,-7.410587,10.814361,17.77572210395657,-5.262350072483559
117,17,text,0.3915117781385678,-0.06952547926414307,-4.212865,4.370457,13.441836727166626,-6.992147598548877
118,18,text,0.5237062432570293,-0.21320094646902596,10.997015,1.1485789,15.127230617876613,4.257802577511977
119,19,text,0.4324427397690884,-0.005245954656884147,-4.731988,4.9374948,15.795059927924356,-6.243232576774452
120,20,text,0.5745878908412311,0.0038459780429565956,-7.6862764,11.360903,17.869637616233344,-4.5314290553724685
121,21,text,0.3883430921680388,-0.2933124333810449,17.246817,-9.036637,25.403277015768463,-0.4730566030295991
122,22,text,0.5482285826776266,-0.1922539040892065,9.945488,0.8490655,14.439035010414223,3.0313674927158356
123,23,text,0.36827716607304906,-0.21768690212974498,16.857006,-9.575407,24.40247127753545,1.3708701829764758
124,24,text,0.5041455407042353,-0.24550892766086047,11.038814,1.0369638,16.0032168378485,4.311117861479033
125,25,text,0.47496994073076954,-0.03491236042397695,-5.141782,4.2104354,13.802267191951042,-4.877569192216659
126,26,text,0.5884402596645291,-0.023284460721949517,-7.735578,10.2529745,18.462440072739966,-4.191518573164252
127,27,text,0.3797085091502046,-0.35227690411783674,16.28559,-9.619785,25.736599757644456,0.1315613366539687
128,28,text,0.5682913381926913,0.012605770512508335,-7.671884,10.147126,18.983431484652023,-4.5377139505094215
129,29,text,0.5245481036190778,-0.028651840226421574,-4.7555447,4.7088118,15.035265421933396,-5.255557439212169
130,30,text,0.5245481036190778,-0.028651840226421574,-4.67027,4.846354,15.032271658275679,-5.256594103465716
131,31,text,0.3166896804532196,-0.157370738392286,16.832264,-9.558085,24.413167297111308,1.4800090492524252
132,32,text,0.5482285826776266,-0.1922539040892065,9.9693,0.86590016,14.323105256617021,3.249035710618943
133,33,text,0.5571227923333569,-0.06131660282616691,-7.363443,11.214552,17.16189061412647,-4.19384631961079
134,34,text,0.5571227923333569,-0.06131660282616691,-7.3819304,11.303396,17.184578736953164,-4.095815525495613
135,35,text,0.5350918060877575,-0.20528746956558205,11.025897,0.851127,15.979478960519181,3.629301224237512
136,36,text,0.41936647713082437,-0.28356136783361285,10.847209,1.181229,16.333060247788644,4.960829326702011
137,37,text,0.4429927343239773,-0.26887108951844385,16.531286,-9.401503,26.994821227357455,-1.2927589503143422
138,38,text,0.42872214299089934,-0.08688047327990935,-4.2995872,4.35424,13.145284065321867,-6.627132955131321
139,39,text,0.42315814176430927,-0.1707236816399991,-4.1921015,4.3102603,13.256661161981096,-7.194412123188541
140,40,text,0.5350918060877575,-0.20528746956558205,11.021057,0.7939278,15.979478960519181,3.629301224237512
141,41,text,0.5745878908412311,0.0038459780429565956,-7.678551,11.32186,17.907294314437365,-3.9893657428022937
142,42,text,0.5306022357821509,-0.06012354687105047,-7.8518915,10.969936,18.59680703713066,-3.4545046601189298
143,43,text,0.5650160095218726,-0.22270073453896544,9.94605,0.9473543,14.613311067676472,3.9500880499915354
144,44,text,0.42608287494107283,-0.1408980517079044,-4.1796474,4.3173866,13.31275229808495,-7.013836558958974
145,45,text,0.39049456767953156,-0.3358197304494035,16.869808,-9.364874,26.25368575313113,-0.8131095846816452
146,46,text,0.36512453098126596,-0.3177801434193463,16.224363,-9.619013,26.921697521483544,-0.21573693098403907
147,47,text,0.5487080239471056,-0.05365923332762887,-7.7896023,11.411448,17.78783616671381,-3.4042005460643354
148,48,text,0.4605337207891673,-0.24268107046624696,10.797338,1.330402,15.897523065525403,5.073151681777717
